1581.8,400.38
1543.3,450.8
1501.8,506.18
1455.9,566.34
1405.8,632.84
1349.9,706.22
1288.5,787.81
1219.2,879.12
1460.9,372.54
1418.7,420.88
1372.4,473.23
1322,530.51
1266.5,593.32
1205.6,662.55
1138,739.2
1062.3,824.52
1346.3,347.05
1300.1,392.55
1249.6,442.42
1195.2,496.83
1135.2,556.35
1069.4,621.63
996.98,694.03
915.71,774.64
1236.1,321.6
1186.7,365.69
1132.9,413.27
1074.6,464.82
1010.8,521.33
940.73,583.24
863.61,651.41
778.15,726.69
1130.9,298.43
1078.7,339.97
1021.9,385.37
960.15,434.48
892.72,488.18
819.14,546.74
738.35,611.18
649.27,682.64
1030.6,275.09
975.56,315.46
915.84,358.68
851.17,405.6
780.81,456.6
703.89,512.29
619.73,573.27
527.32,640.35
933.78,253.77
876.97,291.99
814.77,333.34
747.5,378.03
674.31,426.62
594.78,479.5
507.72,537.27
412.22,601.37
841.96,232.51
783.09,269.44
717.68,308.7
649.16,351.59
572.84,397.68
491.42,448.35
401.37,502.74
304.2,563.24
