1378.7,427.54
1334.3,503.42
1291.2,579.28
1246.6,655.03
1203.5,730.89
1159.3,806.65
1116,882.59
1071.6,958.27
1303,383.41
1258.8,459.34
1215,535.14
1171.3,610.91
1127.5,686.73
1083.7,762.54
1040,838.41
995.9,913.65
1227,340.25
1183,415.52
1139.2,491.38
1095.4,567.18
1051.7,642.95
1007.9,718.73
964.21,794.57
919.98,870.53
1151.3,295.72
1107.2,371.75
1063.4,447.59
1019.6,523.41
975.86,599.23
932.12,675.02
888.41,750.81
844.29,826.34
1075.4,252.5
1031.4,328.02
987.58,403.81
943.78,479.61
900.06,555.49
856.3,631.3
812.5,707.09
768.41,783.2
999.62,208.13
955.51,284.27
911.76,360.01
868.07,435.83
824.29,511.66
780.45,587.48
736.67,663.32
692.69,738.77
923.68,165.12
879.71,240.46
835.94,316.3
792.25,392.13
748.44,467.93
704.65,543.68
660.84,619.51
616.75,695.53
848.11,120.71
803.61,196.39
760.49,272.27
716.31,347.88
673.2,423.97
628.55,499.65
585.42,575.5
541.15,651.22
